Date,Open,High,Low,Close,Adj Close,Volume
1972-08-01,20.100000,21.337500,20.100000,20.424999,5.346751,14835200
1972-09-01,20.424999,20.487499,19.662500,20.325001,5.338194,9339200
1972-10-01,20.325001,20.393749,18.075001,19.275000,5.062420,19964800
1972-11-01,19.299999,19.725000,18.549999,19.549999,5.134647,12979200
1972-12-01,19.549999,20.250000,19.250000,20.100000,5.297872,12316800
1973-01-01,20.225000,22.424999,20.225000,21.775000,5.739361,18889600
1973-02-01,21.775000,22.825001,20.924999,21.575001,5.686646,14412800
1973-03-01,21.575001,22.487499,20.975000,21.575001,5.704891,14980800
1973-04-01,21.575001,21.812500,20.062500,20.400000,5.394193,13444800
1973-05-01,20.575001,21.262501,19.075001,19.671875,5.201664,19080000
1973-06-01,19.625000,20.843750,19.125000,19.812500,5.256208,13171200
1973-07-01,19.625000,20.218750,18.437500,19.656250,5.214750,15332800
1973-08-01,19.656250,19.671875,18.578125,18.812500,4.990907,11534400
1973-09-01,18.781250,18.781250,15.656250,16.125000,4.293534,23854400
1973-10-01,16.109375,18.437500,15.312500,17.515625,4.663809,21480000
1973-11-01,17.515625,18.125000,16.437500,16.562500,4.410025,14982400
1973-12-01,16.546875,16.687500,14.695313,15.421875,4.123001,15811200
1974-01-01,15.421875,15.718750,14.062500,15.328125,4.097938,15929600
1974-02-01,15.281250,15.281250,14.062500,14.867188,3.974708,9995200
1974-03-01,14.867188,15.875000,14.468750,14.734375,3.960613,12356800
1974-04-01,14.734375,15.156250,13.671875,14.203125,3.817813,11529600
1974-05-01,14.203125,14.500000,13.101563,13.281250,3.570009,11699200
1974-06-01,13.281250,14.500000,13.125000,13.296875,3.594379,11020800
1974-07-01,13.296875,13.992188,12.265625,12.601563,3.406424,16593600
1974-08-01,12.601563,13.437500,11.765625,12.000000,3.243811,20158400
1974-09-01,12.000000,12.031250,9.406250,9.937500,2.705178,25644800
1974-10-01,9.937500,12.312500,9.640625,11.820313,3.217714,30107200
1974-11-01,11.820313,12.500000,10.421875,11.078125,3.015676,21164800
1974-12-01,10.968750,10.976563,10.007813,10.500000,2.880357,20459200
1975-01-01,10.515625,11.968750,9.828125,11.765625,3.227545,34846400
1975-02-01,11.765625,13.812500,11.703125,13.468750,3.694742,30401600
1975-03-01,13.500000,14.046875,12.703125,12.914063,3.569368,22632000
1975-04-01,12.914063,13.585938,12.265625,13.117188,3.625513,25046400
1975-05-01,13.117188,14.210938,12.875000,13.437500,3.714045,23155200
1975-06-01,13.562500,13.734375,12.687500,13.062500,3.636078,18966400
1975-07-01,13.062500,13.171875,11.859375,11.890625,3.309875,23774400
1975-08-01,11.890625,11.921875,11.000000,11.640625,3.240286,17582400
